timestamp,noise_sensor1,noise_sensor2,noise_sensor3,noise_sensor4,noise_sensor5,noise_sensor6,noise_sensor7,noise_sensor8,noise_sensor9,noise_sensor10
2026-04-02T14:36:03.996971,64,36,129,43,63,39,76,76,98,79
2026-04-02T14:36:13.996971,113,93,95,103,116,104,66,126,77,38
2026-04-02T14:36:23.996971,111,117,88,32,48,71,114,41,49,92
2026-04-02T14:36:33.996971,70,69,130,108,40,77,64,74,99,104
2026-04-02T14:36:43.996971,31,92,94,89,75,52,124,111,55,127
2026-04-02T14:36:53.996971,40,66,55,33,44,44,122,72,68,129
2026-04-02T14:37:03.996971,111,112,88,106,51,41,127,113,86,116
2026-04-02T14:37:13.996971,66,94,90,57,72,125,63,34,125,118
2026-04-02T14:37:23.996971,99,60,56,33,116,85,123,38,112,54
2026-04-02T14:37:33.996971,36,89,109,94,130,99,107,107,36,42
2026-04-02T14:37:43.996971,129,42,62,66,112,102,43,36,42,91
2026-04-02T14:37:53.996971,69,48,52,45,56,112,37,55,112,35
2026-04-02T14:38:03.996971,36,38,34,114,110,66,63,128,109,75
2026-04-02T14:38:13.996971,33,52,77,51,83,85,125,53,81,82
2026-04-02T14:38:23.996971,76,106,92,90,42,33,35,111,91,45
2026-04-02T14:38:33.996971,68,41,89,122,119,120,36,93,39,84
2026-04-02T14:38:43.996971,48,108,36,101,130,127,60,91,74,67
2026-04-02T14:38:53.996971,101,93,54,35,35,41,104,54,100,61
2026-04-02T14:39:03.996971,78,54,126,105,55,125,48,123,60,99
2026-04-02T14:39:13.996971,100,45,69,115,73,125,109,55,43,44
2026-04-02T14:39:23.996971,34,87,64,48,55,62,40,117,31,82
2026-04-02T14:39:33.996971,84,69,93,102,73,67,78,56,109,45
2026-04-02T14:39:43.996971,128,64,51,83,112,108,65,53,127,88
2026-04-02T14:39:53.996971,126,106,84,105,115,51,56,82,110,103
2026-04-02T14:40:03.996971,53,63,51,126,32,31,53,78,82,76
2026-04-02T14:40:13.996971,70,99,56,50,63,128,60,65,114,30
2026-04-02T14:40:23.996971,85,44,42,49,43,42,105,51,49,117
2026-04-02T14:40:33.996971,105,51,73,114,76,126,81,66,57,88
2026-04-02T14:40:43.996971,86,67,43,62,63,125,30,75,125,52
2026-04-02T14:40:53.996971,117,127,40,101,55,71,125,51,49,88
2026-04-02T14:41:03.996971,59,123,81,40,111,52,68,54,43,97
2026-04-02T14:41:13.996971,63,51,101,43,91,39,33,93,52,96
2026-04-02T14:41:23.996971,45,127,36,109,77,45,47,97,83,37
2026-04-02T14:41:33.996971,126,61,115,102,32,93,114,78,58,76
2026-04-02T14:41:43.996971,99,126,52,114,68,122,91,89,53,103
2026-04-02T14:41:53.996971,61,76,70,61,36,116,74,51,88,77
2026-04-02T14:42:03.996971,42,102,74,62,130,48,93,130,53,83
2026-04-02T14:42:13.996971,31,130,43,66,62,80,116,39,90,84
2026-04-02T14:42:23.996971,81,80,81,104,42,105,129,122,51,66
2026-04-02T14:42:33.996971,90,70,61,74,91,104,94,52,89,106
2026-04-02T14:42:43.996971,112,105,124,68,79,104,114,59,70,33
2026-04-02T14:42:53.996971,44,45,45,51,86,100,88,76,51,129
2026-04-02T14:43:03.996971,35,126,107,91,39,85,79,101,108,103
2026-04-02T14:43:13.996971,74,77,54,44,34,115,64,60,111,119
2026-04-02T14:43:23.996971,122,115,52,47,111,98,121,121,61,103
2026-04-02T14:43:33.996971,46,81,61,127,64,108,109,108,84,30
2026-04-02T14:43:43.996971,129,43,91,42,70,39,91,109,37,118
2026-04-02T14:43:53.996971,111,60,85,87,82,60,108,107,65,81
2026-04-02T14:44:03.996971,94,121,99,81,65,88,52,50,94,92
2026-04-02T14:44:13.996971,46,36,102,95,57,89,82,46,98,100
2026-04-02T14:44:23.996971,86,32,97,105,42,57,114,33,120,55
2026-04-02T14:44:33.996971,125,46,115,67,102,55,111,45,50,119
2026-04-02T14:44:43.996971,99,85,75,83,52,95,103,94,37,126
2026-04-02T14:44:53.996971,99,125,89,31,72,94,58,50,70,93
2026-04-02T14:45:03.996971,69,74,67,47,123,45,52,121,103,43
2026-04-02T14:45:13.996971,45,117,57,109,82,39,119,76,95,106
2026-04-02T14:45:23.996971,128,122,84,114,113,96,82,54,109,67
2026-04-02T14:45:33.996971,126,34,33,38,34,32,49,49,98,62
2026-04-02T14:45:43.996971,66,129,130,44,91,59,41,32,34,111
2026-04-02T14:45:53.996971,82,106,57,33,88,101,108,65,103,78
2026-04-02T14:46:03.996971,95,121,78,67,40,61,86,39,83,51
2026-04-02T14:46:13.996971,76,80,51,34,113,102,35,104,109,44
2026-04-02T14:46:23.996971,58,82,110,86,77,84,70,112,71,95
2026-04-02T14:46:33.996971,44,88,88,57,103,69,90,65,50,108
2026-04-02T14:46:43.996971,52,33,120,101,30,119,111,52,124,106
2026-04-02T14:46:53.996971,33,41,62,125,82,96,119,98,69,93
2026-04-02T14:47:03.996971,65,85,128,72,109,50,37,68,80,84
2026-04-02T14:47:13.996971,88,92,43,96,43,43,118,34,106,118
2026-04-02T14:47:23.996971,122,56,112,62,75,108,78,72,67,118
2026-04-02T14:47:33.996971,113,92,129,103,127,116,55,65,101,130
2026-04-02T14:47:43.996971,36,121,100,73,46,116,86,48,41,56
2026-04-02T14:47:53.996971,103,65,97,77,39,81,127,63,115,65
2026-04-02T14:48:03.996971,84,30,119,49,107,100,86,63,57,78
2026-04-02T14:48:13.996971,43,100,33,75,66,68,101,110,79,46
2026-04-02T14:48:23.996971,122,59,41,98,41,78,65,113,63,97
2026-04-02T14:48:33.996971,78,76,78,103,106,50,83,64,32,45
2026-04-02T14:48:43.996971,126,73,114,106,113,39,67,117,95,53
2026-04-02T14:48:53.996971,49,66,106,32,105,64,109,129,57,64
2026-04-02T14:49:03.996971,109,61,62,130,78,105,104,72,68,53
2026-04-02T14:49:13.996971,113,49,86,121,130,93,31,106,121,129
2026-04-02T14:49:23.996971,107,110,62,40,72,70,38,116,52,108
2026-04-02T14:49:33.996971,119,100,65,101,75,94,60,55,35,38
2026-04-02T14:49:43.996971,96,122,63,93,35,54,108,104,118,34
2026-04-02T14:49:53.996971,124,82,78,42,45,85,117,69,79,68
2026-04-02T14:50:03.996971,91,52,84,102,93,102,59,86,130,80
2026-04-02T14:50:13.996971,77,36,52,70,48,119,31,126,110,128
2026-04-02T14:50:23.996971,79,38,83,123,110,88,96,63,128,61
2026-04-02T14:50:33.996971,100,36,93,121,33,74,74,42,39,113
2026-04-02T14:50:43.996971,85,93,86,31,99,110,53,92,90,124
2026-04-02T14:50:53.996971,94,122,76,64,129,41,129,127,72,127
2026-04-02T14:51:03.996971,118,60,116,120,62,83,114,94,34,90
2026-04-02T14:51:13.996971,62,126,107,37,113,102,36,45,117,42
2026-04-02T14:51:23.996971,73,54,60,30,118,78,81,38,95,117
2026-04-02T14:51:33.996971,94,90,66,30,112,33,113,85,110,72
2026-04-02T14:51:43.996971,45,116,97,117,41,109,41,72,121,60
2026-04-02T14:51:53.996971,32,47,40,79,34,98,120,67,104,79
2026-04-02T14:52:03.996971,44,86,117,98,122,32,77,124,110,48
2026-04-02T14:52:13.996971,58,106,66,119,68,46,85,30,64,112
2026-04-02T14:52:23.996971,108,59,59,108,45,51,42,33,70,97
2026-04-02T14:52:33.996971,46,76,61,78,68,89,101,122,85,128
2026-04-02T14:52:43.996971,50,121,84,52,118,83,56,92,57,126
2026-04-02T14:52:53.996971,62,76,65,108,38,91,42,38,50,45
2026-04-02T14:53:03.996971,93,108,120,69,54,48,73,115,55,100
2026-04-02T14:53:13.996971,60,61,78,96,84,87,57,102,37,37
2026-04-02T14:53:23.996971,45,122,99,54,118,115,107,74,85,124
2026-04-02T14:53:33.996971,59,96,116,125,92,58,33,57,114,43
2026-04-02T14:53:43.996971,71,44,93,125,50,110,101,80,114,111
2026-04-02T14:53:53.996971,94,105,109,59,49,32,129,43,97,94
2026-04-02T14:54:03.996971,57,70,63,94,38,52,78,84,124,54
2026-04-02T14:54:13.996971,102,117,53,30,54,122,41,31,57,123
2026-04-02T14:54:23.996971,44,121,100,43,123,113,60,60,44,45
2026-04-02T14:54:33.996971,123,101,129,52,63,32,45,112,32,111
2026-04-02T14:54:43.996971,130,32,94,76,73,40,93,35,36,64
2026-04-02T14:54:53.996971,37,113,39,53,107,124,61,53,96,53
2026-04-02T14:55:03.996971,121,130,113,45,114,115,80,57,77,46
2026-04-02T14:55:13.996971,104,106,69,50,91,69,69,71,68,108
2026-04-02T14:55:23.996971,32,31,54,66,114,125,94,122,108,44
2026-04-02T14:55:33.996971,118,92,100,99,49,109,123,93,115,35
2026-04-02T14:55:43.996971,66,57,39,40,86,70,108,48,76,61
2026-04-02T14:55:53.996971,49,122,30,88,93,35,44,99,119,108
2026-04-02T14:56:03.996971,112,75,110,110,124,84,101,50,35,52
2026-04-02T14:56:13.996971,122,50,120,116,122,83,33,108,126,63
2026-04-02T14:56:23.996971,127,121,110,80,30,126,125,89,111,66
2026-04-02T14:56:33.996971,54,56,36,126,109,49,39,106,53,70
2026-04-02T14:56:43.996971,126,44,90,120,79,39,38,44,88,73
2026-04-02T14:56:53.996971,103,120,85,50,45,109,51,64,38,111
2026-04-02T14:57:03.996971,57,110,125,58,54,92,120,114,78,65
2026-04-02T14:57:13.996971,67,56,61,130,88,31,93,58,31,99
2026-04-02T14:57:23.996971,120,53,51,105,68,114,46,30,43,95
2026-04-02T14:57:33.996971,63,88,30,81,121,115,86,76,78,32
2026-04-02T14:57:43.996971,98,53,103,95,120,123,94,79,67,81
2026-04-02T14:57:53.996971,111,81,111,41,79,125,89,57,129,68
2026-04-02T14:58:03.996971,79,55,68,52,104,125,56,112,62,117
2026-04-02T14:58:13.996971,94,78,86,55,45,119,90,101,52,64
2026-04-02T14:58:23.996971,50,100,127,60,123,117,95,71,53,85
2026-04-02T14:58:33.996971,51,82,44,101,32,41,79,58,93,76
2026-04-02T14:58:43.996971,110,118,63,93,34,114,75,70,64,82
2026-04-02T14:58:53.996971,39,130,109,89,130,36,48,130,92,83
2026-04-02T14:59:03.996971,79,107,95,114,50,100,41,41,50,82
2026-04-02T14:59:13.996971,92,41,89,97,82,92,117,62,75,35
2026-04-02T14:59:23.996971,124,123,104,67,115,74,47,61,89,86
2026-04-02T14:59:33.996971,124,88,65,109,69,78,64,89,82,52
2026-04-02T14:59:43.996971,51,67,104,122,113,48,112,74,64,96
2026-04-02T14:59:53.996971,51,45,107,116,78,55,70,116,46,69
2026-04-02T15:00:03.996971,75,99,49,97,105,95,80,114,49,96
2026-04-02T15:00:13.996971,34,69,66,66,49,41,90,32,129,90
2026-04-02T15:00:23.996971,54,71,125,89,61,106,36,114,97,46
2026-04-02T15:00:33.996971,40,100,36,61,66,81,99,35,97,47
2026-04-02T15:00:43.996971,42,59,108,76,99,63,93,98,78,30
2026-04-02T15:00:53.996971,50,63,73,103,32,81,105,107,113,54
2026-04-02T15:01:03.996971,75,57,44,45,73,35,59,97,90,59
2026-04-02T15:01:13.996971,123,40,102,87,62,127,33,91,40,53
2026-04-02T15:01:23.996971,65,98,87,79,50,95,103,125,88,30
2026-04-02T15:01:33.996971,118,76,78,40,110,39,47,87,42,95
2026-04-02T15:01:43.996971,54,53,116,127,76,102,80,57,57,108
2026-04-02T15:01:53.996971,67,73,43,42,70,109,117,60,115,52
2026-04-02T15:02:03.996971,108,61,57,79,54,129,38,105,52,71
2026-04-02T15:02:13.996971,80,122,97,61,109,80,50,86,62,121
2026-04-02T15:02:23.996971,44,101,122,94,121,55,32,34,36,82
2026-04-02T15:02:33.996971,77,95,97,30,92,119,66,62,107,75
2026-04-02T15:02:43.996971,52,96,103,81,72,32,121,44,114,117
2026-04-02T15:02:53.996971,70,53,103,130,93,83,54,51,31,82
2026-04-02T15:03:03.996971,56,31,113,79,79,78,54,60,118,60
2026-04-02T15:03:13.996971,44,40,79,93,58,69,103,44,82,127
2026-04-02T15:03:23.996971,40,130,47,31,93,101,118,59,46,63
2026-04-02T15:03:33.996971,87,51,49,42,75,37,98,30,70,99
2026-04-02T15:03:43.996971,54,122,100,39,109,71,113,101,115,39
2026-04-02T15:03:53.996971,105,84,92,95,47,128,53,120,46,40
2026-04-02T15:04:03.996971,36,79,58,48,63,98,93,43,102,86
2026-04-02T15:04:13.996971,53,103,80,108,61,88,30,42,69,129
2026-04-02T15:04:23.996971,106,75,58,109,33,100,50,82,34,40
2026-04-02T15:04:33.996971,62,60,34,116,75,35,98,63,68,32
2026-04-02T15:04:43.996971,60,59,39,92,108,86,128,69,84,101
2026-04-02T15:04:53.996971,39,44,33,108,109,35,71,106,75,87
2026-04-02T15:05:03.996971,45,86,46,31,128,107,60,37,104,55
2026-04-02T15:05:13.996971,108,130,37,123,30,79,39,113,103,102
2026-04-02T15:05:23.996971,30,74,74,110,79,80,38,39,72,88
2026-04-02T15:05:33.996971,77,98,86,36,119,34,99,50,87,38
2026-04-02T15:05:43.996971,70,84,33,113,118,33,112,56,47,30
2026-04-02T15:05:53.996971,31,69,82,113,105,50,49,100,44,85
2026-04-02T15:06:03.996971,116,119,69,118,70,69,103,45,87,70
2026-04-02T15:06:13.996971,46,122,70,44,91,56,127,83,46,33
2026-04-02T15:06:23.996971,62,78,97,111,63,72,114,124,120,77
2026-04-02T15:06:33.996971,128,94,129,62,114,49,33,40,54,121
2026-04-02T15:06:43.996971,32,31,81,30,110,50,120,32,74,61
2026-04-02T15:06:53.996971,121,109,109,36,99,105,56,68,40,58
2026-04-02T15:07:03.996971,102,75,123,61,96,61,123,74,76,49
2026-04-02T15:07:13.996971,108,100,98,118,119,66,53,90,87,73
2026-04-02T15:07:23.996971,102,79,116,95,41,125,92,79,35,30
2026-04-02T15:07:33.996971,130,46,77,45,84,30,82,71,95,38
2026-04-02T15:07:43.996971,104,31,97,80,110,50,52,116,81,109
2026-04-02T15:07:53.996971,104,45,76,108,111,88,130,69,46,76
2026-04-02T15:08:03.996971,98,71,45,67,55,89,33,88,30,97
2026-04-02T15:08:13.996971,65,87,62,45,111,111,35,93,43,121
2026-04-02T15:08:23.996971,99,107,102,47,58,56,120,116,71,58
2026-04-02T15:08:33.996971,33,75,36,69,76,57,45,119,36,110
2026-04-02T15:08:43.996971,74,108,103,123,115,115,82,126,91,40
2026-04-02T15:08:53.996971,72,67,102,62,38,66,87,62,65,54
2026-04-02T15:09:03.996971,120,49,31,30,88,67,98,57,96,74
2026-04-02T15:09:13.996971,83,105,124,92,77,52,107,50,111,36
2026-04-02T15:09:23.996971,108,67,65,75,106,110,82,80,123,109
2026-04-02T15:09:33.996971,86,56,122,97,98,32,35,98,43,111
2026-04-02T15:09:43.996971,75,38,102,47,114,105,67,122,73,31
2026-04-02T15:09:53.996971,92,54,107,44,44,113,57,68,68,85
2026-04-02T15:10:03.996971,103,106,47,113,60,91,90,123,70,47
2026-04-02T15:10:13.996971,68,128,31,38,121,115,116,107,107,102
2026-04-02T15:10:23.996971,43,94,111,97,64,111,128,66,37,46
2026-04-02T15:10:33.996971,104,45,59,95,35,53,128,46,93,99
2026-04-02T15:10:43.996971,88,41,98,115,47,97,58,96,42,58
2026-04-02T15:10:53.996971,44,31,101,122,79,85,36,31,45,67
2026-04-02T15:11:03.996971,116,65,113,87,95,34,117,78,44,120
2026-04-02T15:11:13.996971,102,37,96,68,122,77,129,120,92,111
2026-04-02T15:11:23.996971,76,94,30,124,48,100,61,81,80,89
2026-04-02T15:11:33.996971,58,35,81,116,31,84,111,54,45,33
2026-04-02T15:11:43.996971,124,42,57,39,114,102,79,104,66,112
2026-04-02T15:11:53.996971,64,123,69,115,79,41,67,32,89,46
2026-04-02T15:12:03.996971,117,76,48,90,103,48,100,50,124,121
2026-04-02T15:12:13.996971,40,32,52,50,58,38,73,98,107,67
2026-04-02T15:12:23.996971,76,79,106,69,80,43,101,119,81,37
2026-04-02T15:12:33.996971,47,44,127,83,109,105,49,30,62,129
2026-04-02T15:12:43.996971,123,107,110,101,117,88,102,101,37,114
2026-04-02T15:12:53.996971,72,117,34,127,94,105,118,30,67,32
2026-04-02T15:13:03.996971,120,53,39,123,121,93,80,74,73,107
2026-04-02T15:13:13.996971,94,43,119,94,54,125,107,127,119,94
2026-04-02T15:13:23.996971,89,36,120,110,101,55,87,62,125,38
2026-04-02T15:13:33.996971,42,62,100,128,113,81,106,109,58,55
2026-04-02T15:13:43.996971,118,121,42,45,100,47,84,111,120,45
2026-04-02T15:13:53.996971,103,118,34,56,129,50,88,78,84,43
2026-04-02T15:14:03.996971,103,100,75,116,89,84,97,69,66,42
2026-04-02T15:14:13.996971,122,65,99,96,54,92,58,101,54,121
2026-04-02T15:14:23.996971,119,77,93,60,53,101,36,44,36,32
2026-04-02T15:14:33.996971,129,112,126,49,115,104,37,71,110,50
2026-04-02T15:14:43.996971,100,31,67,69,101,130,49,34,105,36
2026-04-02T15:14:53.996971,56,113,89,33,123,43,72,34,53,100
2026-04-02T15:15:03.996971,90,68,60,114,88,117,72,112,100,130
2026-04-02T15:15:13.996971,101,83,93,85,59,48,45,108,42,128
2026-04-02T15:15:23.996971,96,109,82,46,64,127,69,41,60,130
2026-04-02T15:15:33.996971,60,87,55,58,97,130,96,68,50,65
2026-04-02T15:15:43.996971,38,73,38,106,117,69,81,104,56,61
2026-04-02T15:15:53.996971,89,81,95,122,55,65,72,32,51,87
2026-04-02T15:16:03.996971,111,88,61,93,75,121,125,49,116,42
2026-04-02T15:16:13.996971,53,38,33,123,120,112,73,69,105,87
2026-04-02T15:16:23.996971,36,78,72,39,113,125,120,106,45,119
2026-04-02T15:16:33.996971,94,75,103,89,32,93,108,43,92,71
2026-04-02T15:16:43.996971,82,60,31,49,90,121,56,52,74,102
2026-04-02T15:16:53.996971,101,109,40,108,74,128,66,97,84,105
2026-04-02T15:17:03.996971,30,42,127,125,40,65,115,101,83,96
2026-04-02T15:17:13.996971,33,66,41,89,34,39,104,42,122,92
2026-04-02T15:17:23.996971,67,34,87,49,33,106,104,125,107,46
2026-04-02T15:17:33.996971,117,119,88,30,88,86,122,102,61,60
2026-04-02T15:17:43.996971,45,63,98,96,118,74,91,95,106,31
2026-04-02T15:17:53.996971,105,109,62,123,73,31,87,76,59,40
2026-04-02T15:18:03.996971,68,67,81,42,106,47,128,43,57,50
2026-04-02T15:18:13.996971,81,117,69,123,46,104,53,41,112,103
2026-04-02T15:18:23.996971,55,80,91,118,88,96,66,39,105,123
2026-04-02T15:18:33.996971,79,87,90,60,85,122,50,127,83,94
2026-04-02T15:18:43.996971,59,33,50,89,88,83,59,63,74,40
2026-04-02T15:18:53.996971,34,31,78,89,115,86,80,85,67,96
2026-04-02T15:19:03.996971,76,71,74,106,83,109,122,53,125,61
2026-04-02T15:19:13.996971,127,57,77,62,90,115,37,85,108,39
2026-04-02T15:19:23.996971,85,67,95,121,32,65,86,31,74,84
2026-04-02T15:19:33.996971,99,30,35,85,101,124,106,64,87,111
2026-04-02T15:19:43.996971,44,113,89,105,39,66,86,127,76,52
2026-04-02T15:19:53.996971,125,90,128,47,121,76,52,75,102,35
2026-04-02T15:20:03.996971,48,54,38,32,81,98,75,59,84,82
2026-04-02T15:20:13.996971,63,47,81,82,120,91,126,100,99,87
2026-04-02T15:20:23.996971,71,82,93,88,105,35,65,68,60,47
2026-04-02T15:20:33.996971,34,113,53,39,50,119,48,35,83,125
2026-04-02T15:20:43.996971,57,75,76,79,40,34,76,85,49,111
2026-04-02T15:20:53.996971,93,51,97,72,119,70,123,125,82,112
2026-04-02T15:21:03.996971,92,74,86,53,33,101,61,103,85,70
2026-04-02T15:21:13.996971,36,49,111,95,97,45,104,56,128,65
2026-04-02T15:21:23.996971,42,103,43,72,91,30,108,67,119,44
2026-04-02T15:21:33.996971,83,53,110,110,36,62,46,99,86,68
2026-04-02T15:21:43.996971,87,89,100,66,77,67,79,70,66,99
2026-04-02T15:21:53.996971,129,55,103,49,55,67,67,105,63,107
2026-04-02T15:22:03.996971,101,73,116,130,32,62,43,33,127,81
2026-04-02T15:22:13.996971,57,125,123,105,91,113,41,89,32,63
2026-04-02T15:22:23.996971,130,51,85,79,76,54,96,128,120,111
2026-04-02T15:22:33.996971,95,67,124,104,94,73,113,115,95,55
2026-04-02T15:22:43.996971,32,113,75,57,107,97,59,113,62,47
2026-04-02T15:22:53.996971,82,37,114,63,110,36,86,117,84,60
2026-04-02T15:23:03.996971,34,76,68,93,31,48,101,85,67,74
2026-04-02T15:23:13.996971,91,85,80,95,92,63,100,119,82,90
2026-04-02T15:23:23.996971,91,85,126,64,117,105,126,60,100,94
2026-04-02T15:23:33.996971,90,32,55,130,89,126,83,84,123,30
2026-04-02T15:23:43.996971,86,47,74,115,113,77,91,90,113,52
2026-04-02T15:23:53.996971,87,59,112,74,80,118,83,112,84,115
2026-04-02T15:24:03.996971,33,42,84,106,80,95,88,101,88,48
2026-04-02T15:24:13.996971,62,118,75,122,98,47,100,114,66,67
2026-04-02T15:24:23.996971,42,53,54,106,79,61,68,78,100,82
2026-04-02T15:24:33.996971,32,45,70,49,77,77,65,45,114,123
2026-04-02T15:24:43.996971,38,128,67,64,129,104,106,39,76,30
2026-04-02T15:24:53.996971,57,74,40,112,115,77,97,95,70,60
2026-04-02T15:25:03.996971,80,73,128,33,124,117,73,80,58,42
2026-04-02T15:25:13.996971,80,73,128,33,124,117,73,80,58,42
